Country,First lockdown start date
Albania,2020-03-13
Argentina,2020-03-19
Armenia,2020-03-24
Austria,2020-03-16
Azerbaijan,2020-03-31
Bangladesh,2020-03-26
Barbados,2020-03-28
Belgium,2020-03-18
Bermuda,2020-04-04
Bhutan,2020-08-11
Bolivia,2020-03-22
Botswana,2020-04-02
Bulgaria,2020-03-13
Colombia,2020-03-25
Congo,2020-03-31
Costa Rica,2020-03-23
Croatia,2020-03-18
Cyprus,2020-03-24
Czech Republic,2020-03-16
Denmark,2020-03-12
Ecuador,2020-03-16
El Salvador,2020-03-12
Eritrea,2020-04-02
Estonia,2021-03-11
France,2020-03-17
Finland,2021-03-08
Georgia,2020-03-31
Germany,2020-03-16
Ghana,2020-03-30
Greece,2020-03-23
Guernsey,2020-03-25
Honduras,2020-03-20
Hungary,2020-03-28
India,2020-03-25
Iran,2020-03-14
Iraq,2020-03-22
Ireland,2020-03-12[ab]
Italy,2020-03-09[ad]
Jamaica,2020-04-15
Jordan,2020-03-18
Kosovo,2020-03-14
Kuwait,2020-05-10
Lebanon,2020-03-15
Libya,2020-03-22
Lithuania,2020-03-16
Malaysia,2020-03-18
Mexico,2020-03-23
Mongolia,2020-03-10
Montenegro,2020-03-24
Morocco,2020-03-19
Myanmar,2020-04-18
Namibia,2020-03-27
Nepal,2020-03-24
Netherlands,2020-03-15
New Zealand,2020-03-23
North Korea,2022-05-12
Oman,2020-04-10
Pakistan,2020-03-24
Panama,2020-03-25
Papua New Guinea,2020-03-24
Paraguay,2020-03-20
Peru,2020-03-16
Poland,2020-03-13
Portugal,2020-03-19
Qatar,2020-03-11
Romania,2020-03-25
Russia,2020-03-28
Rwanda,2020-03-21
Samoa,2020-03-26
San Marino,2020-03-14
Serbia,2020-03-15
Singapore,2020-04-07
South Africa,2020-03-26
Spain,2020-03-14
Sri Lanka,2020-03-18
Switzerland,2020-03-17
Thailand,2020-03-25
Trinidad and Tobago,2020-03-17
Tunisia,2020-03-22
Turkey,2021-04-29
Ukraine,2020-03-17
United Arab Emirates,2020-03-26
Venezuela,2020-03-17
Vietnam,2020-04-01
Zimbabwe,2020-03-30
